Race Codes: ,,,,,,,,,,,,,,,,,,,,,,,,
AI: ,AMERICAN INDIAN OR ALASKAN NATIVE,,,,,,,,,,,,,,,,,,,,,,,
AP: ,ASIAN OR PACIFIC ISLANDER,,,,,,,,,,,,,,,,,,,,,,,
BH: ,BLACK NOT OF HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,,,,,,
HP: ,HISPANIC,,,,,,,,,,,,,,,,,,,,,,,
WH: ,WHITE NOT OF HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,,,,,,
OT: ,OTHER,,,,,,,,,,,,,,,,,,,,,,,
UK: ,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,
COUNTY ID,COUNTY NAME,      AI         MALE  VOTERS,    AI        FEMALE VOTERS,    AI        UNKNOWN VOTERS,AP    MALE  VOTERS,    AP        FEMALE VOTERS,    AP        UNKNOWN VOTERS,    BH     MALE VOTERS,    BH     FEMALE VOTERS,    BH        UNKNOWN VOTERS,    HP       MALE  VOTERS,    HP       FEMALE  VOTERS,    HP        UNKNOWN VOTERS,    WH      MALE  VOTERS,   WH        FEMALE  VOTERS,    WH        UNKNOWN VOTERS,    OT        MALE  VOTERS,   OT      FEMALE  VOTERS,    OT        UNKNOWN VOTERS,    UK        MALE  VOTERS,UK        FEMALE VOTERS,    UK        UNKNOWN VOTERS,TOTAL VOTERS,
076,HOUSTON,49,60,3,686,939,5,11151,16115,61,803,1092,2,25405,28063,41,393,550,5,3943,3647,63,93076,
077,IRWIN,1,1,0,9,8,0,493,729,0,27,17,0,1822,2019,2,4,7,0,81,52,2,5274,
078,JACKSON,13,13,0,234,245,0,1102,1330,1,498,564,1,15950,17566,22,117,125,0,2155,1875,16,41827,
079,JASPER,1,2,0,8,13,0,714,955,0,53,46,0,3369,3506,3,12,12,0,133,133,0,8960,
080,JEFF DAVIS,4,1,0,9,9,0,440,641,0,65,89,0,2779,3101,4,5,16,0,163,148,0,7474,
081,JEFFERSON,2,5,0,11,9,0,2095,3109,7,15,14,0,1987,2208,3,12,19,1,413,386,5,10301,
082,JENKINS,1,2,0,5,4,1,655,967,0,6,4,0,1253,1373,1,5,6,0,209,144,1,4637,
083,JOHNSON,1,2,0,10,5,0,626,888,0,0,5,0,1590,1751,2,5,1,0,69,68,0,5023,
084,JONES,9,12,0,23,47,0,1934,2589,1,46,56,0,6029,6627,7,27,27,1,341,279,5,18060,
085,LAMAR,3,8,0,13,18,0,1163,1522,0,32,38,0,3575,3971,1,30,33,0,428,384,1,11220,
086,LANIER,5,6,0,12,20,0,482,586,0,30,52,0,1605,1863,1,12,16,0,161,147,3,5001,
087,LAURENS,13,19,0,78,90,1,3862,5752,4,97,102,0,7957,9111,7,73,98,0,659,582,3,28508,
088,LEE,10,12,0,107,125,1,1584,2170,12,90,111,0,7148,7828,12,66,51,2,816,736,9,20890,
089,LIBERTY,14,39,0,187,297,1,5720,7919,10,727,918,1,4801,5473,3,186,302,1,2131,2016,10,30756,
090,LINCOLN,5,4,0,5,10,0,679,882,0,6,7,0,1818,1910,1,7,7,0,203,179,0,5723,
091,LONG,8,10,0,21,51,0,777,998,1,147,176,0,1981,2227,3,38,49,0,536,514,3,7540,
092,LOWNDES,68,74,0,307,408,0,9691,13530,8,634,777,0,17708,20004,15,542,660,1,1365,1250,18,67060,
093,LUMPKIN,40,34,0,34,47,0,79,77,0,126,148,1,8191,8959,3,75,68,0,871,698,7,19458,
094,MACON,1,0,0,31,22,0,1662,2280,0,14,36,0,1066,1164,0,9,13,0,141,103,2,6544,
095,MADISON,7,6,0,50,59,0,636,802,1,83,114,0,6745,7538,13,37,41,0,905,810,10,17857,
096,MARION,2,5,0,14,17,0,603,792,0,32,27,0,1318,1432,1,13,11,0,89,79,1,4436,
097,MCDUFFIE,3,6,0,13,23,0,1949,2977,1,28,53,1,3466,3975,2,16,19,0,495,421,5,13453,
098,MCINTOSH,2,2,0,15,14,0,1203,1456,0,21,39,0,2712,2857,2,19,31,0,259,210,1,8843,
099,MERIWETHER,4,8,0,14,12,0,2079,2863,1,20,38,0,3621,3989,4,21,36,0,516,437,2,13665,
100,MILLER,0,3,0,1,2,0,405,577,0,8,14,0,1273,1414,0,5,2,0,49,52,0,3805,
101,MITCHELL,2,7,0,16,24,0,2138,3137,4,54,49,0,2849,3262,5,18,14,0,441,398,3,12421,
102,MONROE,9,9,0,41,53,0,1602,2132,7,59,46,0,6373,6860,8,60,55,0,684,580,20,18598,
103,MONTGOMERY,2,1,0,2,6,0,488,630,1,33,41,0,1684,1884,2,6,8,0,149,126,1,5064,
104,MORGAN,4,2,1,20,32,0,1051,1491,2,47,59,0,4639,5057,5,18,24,0,297,255,2,13006,
105,MURRAY,8,6,0,15,18,0,46,39,0,410,428,0,7732,8613,8,33,46,0,839,744,3,18988,
106,MUSCOGEE,65,74,1,718,956,4,21232,31188,21,1275,1502,3,20784,25343,36,638,884,4,3864,4045,38,112675,
107,NEWTON,41,38,0,161,182,0,12328,18043,2,501,645,0,14379,16221,4,230,346,0,3261,2949,2,69333,
108,OCONEE,8,10,0,257,301,0,452,590,2,201,215,3,10770,11807,19,92,96,0,1271,1193,19,27306,
109,OGLETHORPE,8,5,0,11,12,0,555,731,0,44,50,1,3377,3731,4,20,23,0,442,377,4,9395,
110,PAULDING,65,68,1,256,371,0,7431,9708,16,1206,1458,3,32292,35297,39,390,504,1,4192,4189,34,97521,
111,PEACH,12,8,0,33,45,0,3038,3892,4,168,206,0,3860,4159,3,40,49,0,464,446,6,16433,
112,PICKENS,14,13,0,38,41,0,78,87,0,76,120,0,8887,9807,0,27,37,0,885,709,0,20819,
113,PIERCE,7,5,1,13,16,1,350,489,1,24,39,0,4069,4788,6,16,20,0,468,446,1,10760,
114,PIKE,6,3,0,11,24,0,497,565,0,23,30,0,4764,5191,2,22,32,0,529,413,3,12115,
115,POLK,4,6,0,19,38,0,893,1358,3,220,209,1,7750,8789,9,56,45,1,712,673,5,20791,
116,PULASKI,1,4,0,11,10,0,595,862,0,19,21,0,1692,1835,0,8,12,0,90,95,0,5255,
117,PUTNAM,9,0,0,20,35,0,1203,1731,1,63,85,0,4577,4970,6,26,18,0,367,363,3,13477,
118,QUITMAN,4,4,0,2,2,0,265,390,0,2,4,0,370,400,0,2,5,0,40,28,0,1518,
119,RABUN,6,8,0,17,22,0,27,26,0,85,70,1,4907,5428,10,27,16,0,404,372,2,11428,
120,RANDOLPH,1,3,0,4,4,0,900,1381,3,5,2,0,804,873,0,2,9,0,72,67,0,4130,
121,RICHMOND,55,77,0,450,650,8,25428,36969,270,717,940,6,18183,21238,68,605,921,13,7434,7111,321,121464,
122,ROCKDALE,45,32,0,290,357,1,12755,17043,23,666,763,3,8903,9893,8,332,505,0,3013,3260,21,57913,
123,SCHLEY,1,0,0,3,10,0,191,303,0,10,14,0,947,1054,2,4,3,0,32,48,0,2622,
124,SCREVEN,1,4,0,11,14,0,1345,1826,1,11,16,0,2179,2405,3,10,11,0,316,277,0,8430,
125,SEMINOLE,1,3,0,4,4,0,656,990,0,19,21,0,1626,1752,1,10,9,0,97,106,0,5299,
126,SPALDING,17,24,1,89,133,0,4990,7466,6,244,301,0,11352,12917,13,109,146,1,1536,1434,18,40797,
127,STEPHENS,8,7,0,44,38,0,658,837,0,50,55,0,6091,6809,9,32,50,0,580,490,6,15764,
128,STEWART,1,0,0,2,5,0,744,954,1,5,3,0,553,533,0,2,5,1,48,49,0,2906,
129,SUMTER,2,3,0,47,47,0,3072,4730,5,67,92,0,3504,4003,1,38,47,0,295,271,2,16226,
130,TALBOT,1,4,0,3,4,0,1008,1346,0,7,9,0,839,865,0,7,11,0,104,81,0,4289,
131,TALIAFERRO,0,0,0,0,1,0,334,334,0,7,2,0,233,250,0,3,4,0,27,19,1,1215,
132,TATTNALL,4,5,0,10,21,0,864,1204,3,125,152,1,3412,3941,7,25,30,0,591,534,7,10936,
133,TAYLOR,1,1,0,5,6,0,697,1025,3,7,20,0,1308,1434,0,5,5,0,159,135,1,4812,
134,TELFAIR,3,2,0,9,9,0,718,1013,1,13,10,1,1657,1798,0,6,8,0,131,112,1,5492,
135,TERRELL,2,3,0,10,7,0,1487,2064,4,10,16,0,1145,1209,0,17,15,0,172,184,2,6347,
136,THOMAS,10,18,0,72,62,0,3443,5271,6,77,123,0,7549,8823,16,52,76,0,973,988,8,27567,
137,TIFT,7,5,0,87,81,0,2420,3583,12,330,306,1,6534,7563,12,50,65,0,408,368,15,21847,
138,TOOMBS,2,0,0,28,29,0,1308,2006,3,144,191,0,4414,5158,7,44,61,0,729,685,4,14813,
139,TOWNS,3,3,0,13,17,0,16,26,0,26,36,0,4030,4619,4,14,11,0,250,230,0,9298,
140,TREUTLEN,1,3,0,3,2,0,487,735,0,8,7,0,1251,1347,2,2,3,0,70,78,1,4000,
141,TROUP,10,14,1,126,130,0,4886,7547,7,150,169,1,10615,12431,14,104,139,4,1190,1039,23,38600,
142,TURNER,4,1,0,8,8,0,792,1135,1,27,27,0,1365,1515,2,5,11,0,95,77,3,5076,
143,TWIGGS,2,2,0,3,7,0,1151,1319,1,11,23,0,1435,1520,1,13,20,0,170,145,2,5825,
144,UNION,8,8,0,14,33,0,13,15,0,38,68,0,7054,7984,12,25,23,0,590,569,5,16459,
145,UPSON,5,5,0,22,32,0,1676,2473,4,32,31,0,4657,5554,7,31,32,0,644,557,3,15765,
146,WALKER,14,18,0,47,53,0,510,669,0,80,96,0,14422,16839,15,66,106,0,2771,2620,9,38335,
147,WALTON,30,24,0,213,208,1,3511,4914,5,362,436,0,19617,22120,21,209,235,2,4680,4678,19,61285,
148,WARE,13,8,1,40,47,0,1751,2872,4,66,75,0,5586,6616,8,31,52,0,728,581,7,18486,
149,WARREN,3,1,0,3,5,0,792,1117,2,5,4,0,657,706,0,10,6,0,116,74,0,3501,
150,WASHINGTON,3,3,0,16,7,0,2255,3534,0,16,22,0,2553,2938,1,14,18,0,286,239,1,11906,
151,WAYNE,7,4,0,28,32,0,902,1389,1,68,100,1,5322,6216,6,34,29,0,678,629,1,15447,
152,WEBSTER,1,0,0,0,0,0,277,366,0,2,3,1,384,411,1,6,3,0,14,21,0,1490,
153,WHEELER,1,0,0,0,1,0,334,419,0,9,11,0,969,1035,1,4,6,0,56,55,0,2901,
154,WHITE,10,15,0,27,30,0,111,97,0,63,74,0,7748,8450,4,28,20,0,705,656,2,18040,
155,WHITFIELD,23,30,0,164,197,0,813,991,1,2828,2934,8,15068,17463,27,155,184,1,2425,2275,15,45602,
156,WILCOX,3,0,0,6,6,0,484,701,0,15,20,0,1370,1496,1,5,6,0,53,42,1,4209,
157,WILKES,2,4,0,8,9,0,928,1407,1,7,11,0,1694,1811,1,9,16,0,196,141,0,6245,
158,WILKINSON,1,0,0,2,4,0,1023,1403,1,3,7,0,1567,1717,0,12,8,0,134,93,1,5976,
159,WORTH,4,3,0,7,19,0,1272,1805,1,23,36,0,4174,4508,5,31,33,0,364,282,4,12571,
GRAND TOTALS: ,,4019,4142,22,64710,71026,351,805091,1097095,1956,83961,99009,353,1623300,1802396,2512,35993,44510,240,309491,302448,4234,6356859,
